Key,Value
Description_14_904D5E604539ED396B0118AFBF607164,毒に弱い
Description_14_904D5E604539ED396B0118AFBF607164,電に強い
Description_14_904D5E604539ED396B0118AFBF607164,冷に弱い
Description_14_904D5E604539ED396B0118AFBF607164,毒に弱い
Description_14_904D5E604539ED396B0118AFBF607164,熱に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に弱い
Description_14_904D5E604539ED396B0118AFBF607164,電に弱い
Description_14_904D5E604539ED396B0118AFBF607164,心に強い
Description_14_904D5E604539ED396B0118AFBF607164,裂に強い
Description_14_904D5E604539ED396B0118AFBF607164,裂に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に弱い
Description_14_904D5E604539ED396B0118AFBF607164,衝に強い
Description_14_904D5E604539ED396B0118AFBF607164,衝に強い
Description_14_904D5E604539ED396B0118AFBF607164,衝に強い
Description_14_904D5E604539ED396B0118AFBF607164,心に弱い
Description_14_904D5E604539ED396B0118AFBF607164,衝に強い
Description_14_904D5E604539ED396B0118AFBF607164,衝に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に強い
Description_14_904D5E604539ED396B0118AFBF607164,衝に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に強い
Description_14_904D5E604539ED396B0118AFBF607164,冷に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に弱い
Description_14_904D5E604539ED396B0118AFBF607164,熱に強い
Description_14_904D5E604539ED396B0118AFBF607164,熱に強い
Description_14_904D5E604539ED396B0118AFBF607164,熱に強い
Description_14_904D5E604539ED396B0118AFBF607164,毒に強い
Description_14_904D5E604539ED396B0118AFBF607164,毒に強い
Description_14_904D5E604539ED396B0118AFBF607164,毒に強い
Description_14_904D5E604539ED396B0118AFBF607164,冷に弱い
Description_14_904D5E604539ED396B0118AFBF607164,熱に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に弱い
Description_14_904D5E604539ED396B0118AFBF607164,毒に強い
Description_14_904D5E604539ED396B0118AFBF607164,電に弱い
Description_14_904D5E604539ED396B0118AFBF607164,毒に弱い
Description_14_904D5E604539ED396B0118AFBF607164,電に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に強い
Description_14_904D5E604539ED396B0118AFBF607164,熱に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に強い
Description_14_904D5E604539ED396B0118AFBF607164,熱に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に強い
Description_14_904D5E604539ED396B0118AFBF607164,電に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に強い
Description_14_904D5E604539ED396B0118AFBF607164,熱に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に強い
Description_14_904D5E604539ED396B0118AFBF607164,裂に強い
Description_14_904D5E604539ED396B0118AFBF607164,電に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に弱い
Description_14_904D5E604539ED396B0118AFBF607164,熱に強い
Description_14_904D5E604539ED396B0118AFBF607164,冷に弱い
Description_14_904D5E604539ED396B0118AFBF607164,熱に強い
Description_14_904D5E604539ED396B0118AFBF607164,電に弱い
Description_14_904D5E604539ED396B0118AFBF607164,熱に強い
Description_14_904D5E604539ED396B0118AFBF607164,熱に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に強い
Description_14_904D5E604539ED396B0118AFBF607164,熱に弱い
Description_14_904D5E604539ED396B0118AFBF607164,冷に強い
Description_14_904D5E604539ED396B0118AFBF607164,衝に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に強い
Description_14_904D5E604539ED396B0118AFBF607164,衝に弱い
Description_14_904D5E604539ED396B0118AFBF607164,裂に強い
Description_14_904D5E604539ED396B0118AFBF607164,裂に強い
Description_14_904D5E604539ED396B0118AFBF607164,心に弱い
Description_14_904D5E604539ED396B0118AFBF607164,毒に強い
Description_14_904D5E604539ED396B0118AFBF607164,衝に弱い
Description_14_904D5E604539ED396B0118AFBF607164,衝に弱い
Description_14_904D5E604539ED396B0118AFBF607164,毒に強い
Description_14_904D5E604539ED396B0118AFBF607164,衝に弱い
Description_14_904D5E604539ED396B0118AFBF607164,毒に弱い
